route_id,route_name,origin_location_id,route_type,total_distance_km,estimated_duration_minutes,number_of_stops,complexity_score,traffic_density,road_quality,weather_risk,is_active,created_date
112,Route Canberra-112,26,Urban,103.7,214.0,4,8.1,Medium,Poor,Medium,True,2024-10-24
113,Route Sunshine Coast-113,31,Suburban,91.8,192.0,4,7.9,High,Fair,High,True,2024-11-09
114,Route Sunshine Coast-114,31,Suburban,47.0,89.0,3,6.3,Medium,Fair,High,True,2025-08-10
115,Route Sunshine Coast-115,31,Mixed,93.7,113.0,3,4.9,Medium,Poor,Low,True,2024-12-21
116,Route Sunshine Coast-116,31,Suburban,109.5,142.0,3,8.3,Medium,Excellent,Low,True,2025-08-28
117,Route Sunshine Coast-117,31,Rural,172.9,280.0,6,4.7,Low,Good,High,True,2025-08-13
118,Route Sunshine Coast-118,31,Suburban,163.3,256.0,8,1.5,Medium,Good,High,True,2024-10-06
119,Route Sunshine Coast-119,31,Rural,171.0,366.0,6,9.3,Low,Good,High,True,2024-12-14
120,Route Sunshine Coast-120,31,Rural,202.0,295.0,7,3.1,Low,Fair,Medium,True,2025-04-24
121,Route Sunshine Coast-121,31,Rural,109.4,263.0,4,1.1,Low,Excellent,Low,True,2024-12-13
122,Route Sunshine Coast-122,31,Highway,60.9,138.0,3,2.2,Medium,Fair,Medium,True,2025-03-23
123,Route Sunshine Coast-123,31,Suburban,118.6,234.0,4,8.8,Medium,Excellent,Low,True,2025-03-21
124,Route Wollongong-124,34,Rural,159.3,364.0,7,5.2,Low,Good,Medium,True,2025-08-31
125,Route Wollongong-125,34,Mixed,88.1,162.0,6,5.8,Low,Excellent,High,True,2024-12-25
126,Route Wollongong-126,34,Rural,240.4,425.0,7,8.8,Low,Good,Low,True,2025-01-12
127,Route Wollongong-127,34,Rural,122.9,239.0,4,9.6,Low,Poor,High,True,2025-04-08
128,Route Wollongong-128,34,Mixed,219.2,520.0,8,8.0,Low,Excellent,Medium,True,2024-10-11
129,Route Wollongong-129,34,Rural,147.1,207.0,6,7.1,High,Fair,Low,True,2024-09-28
130,Route Wollongong-130,34,Urban,210.1,508.0,7,9.8,Low,Fair,High,True,2025-05-07
131,Route Wollongong-131,34,Mixed,197.3,397.0,6,3.6,High,Excellent,Low,True,2025-08-18
132,Route Wollongong-132,34,Suburban,132.0,277.0,3,7.0,High,Poor,High,True,2024-09-24
133,Route Wollongong-133,34,Urban,255.2,328.0,8,3.6,Medium,Poor,Low,True,2025-04-08
134,Route Wollongong-134,34,Suburban,152.4,290.0,6,1.2,High,Poor,Medium,True,2025-04-20
135,Route Wollongong-135,34,Rural,89.5,221.0,3,6.5,Medium,Poor,High,True,2024-10-25
136,Route Wollongong-136,34,Urban,207.6,302.0,7,8.1,High,Fair,High,True,2025-06-24
137,Route Wollongong-137,34,Highway,212.9,439.0,6,7.8,Medium,Poor,High,True,2025-05-14
